file,pattern,match_or_content,context
archive/VE012/UT012_0003.xml,isolated_dot,ོ.།,ྙིང་པོའི་མན་ངག་ཐེམས་སུ་བཀོ.། །གཞན་ལས་ཁྱད་འཕགས་སྙན་བརྒ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,འཕགས་སྙན་བརྒྱུད་ཨེ་མ་ཧོ། །.ེ་དག་ཀུན་གྱི་ཟབ་ཆོས་སྲུང་མ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ལ་སྒྲུབ་པའི་ཟབ་རྒྱ་བསྟན། །.ེ་ཡི་ཆ་ལག་དངོས་གྲུབ་ཆར་འབེ
archive/VE012/UT012_0003.xml,isolated_dot,ོ.།,་ལག་དངོས་གྲུབ་ཆར་འབེབས་བཀོ.། །བར་ཆད་སེལ་ཞིང་འདོད་དགུ་
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ག་དམ་ཅན་སྒྲུབ་པ་ཨེ་མ་ཧོ། །.ེ་ལྟར་བཤད་རྒྱུད་ཆོས་སྡེ་སུ
archive/VE012/UT012_0003.xml,isolated_dot,ོ.།,"ངེས་པ་དོན་གྱི་སྙིང་པོར་བཀོ.། །,ེག་པའི་ཡང་ཞུན་བཏུས་པ་ཨ"
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,་དམ་ངེས་པའི་འཁོར་ལོ་མཆོག །.ེ་ལས་གསང་ཆེན་རྡོ་རྗེ་ཐེག་པ
archive/VE012/UT012_0003.xml,isolated_dot,།.ོ,ང་གསང་བ་བླ་ན་མེད་བཞི་ལས། །.ོན་གྱི་སྙིང་པོ་གཅིག་བསྡུས་
archive/VE012/UT012_0003.xml,isolated_dot,ུ.།,ན་བརྒྱུད་དོན་གྱི་ཡང་ཟབ་བཅུ.། །མ་ལུས་ཀུན་བསྡུས་འདིར་གཅ
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,་བྱང་ཆུབ་ཆོས་སྐུ་རང་ལས་རྙེ.། །རྡོས་བཅས་ལུས་ལ་རྒྱལ་བའི
archive/VE012/UT012_0003.xml,isolated_dot,།.ོ,་རྒྱལ་བའི་དགོངས་པ་རྫོགས། །.ོན་དམ་ནམ་མཁའ་འདྲ་བའི་ཆོས་ཀ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,་དུ་དེང་སང་དངོས་སུ་བྱོན། །.ེ་དང་བདག་མཇལ་འདི་འདྲའི་ཟབ་
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,་མེད་སྙིང་ནས་མོས་གུས་བསྐྱེ.། །.ེ་ཡི་དབང་གིས་བྱིན་རླབས
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,་སྙིང་ནས་མོས་གུས་བསྐྱེ.། །.ེ་ཡི་དབང་གིས་བྱིན་རླབས་རྒྱ
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,་གིས་བྱིན་རླབས་རྒྱུན་ཆད་མེ.། །ལྟ་དགོངས་ཏིང་འཛིན་རྟོགས
archive/VE012/UT012_0003.xml,isolated_dot,ོ.།,འདི་ལ་རྟག་ཏུ་གཅེས་སྤྲས་མཛོ.། ཁོ་བོའི་ཉམས་ལེན་སྙིང་གི་
archive/VE012/UT012_0003.xml,isolated_dot,ོ.།,་བྱིན་ལ་དར་ཞིང་རྒྱས་པར་མཛོ.། །བརྒྱུད་གསུམ་བླ་མ་རྣམས་ཀ
archive/VE012/UT012_0004.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE012/UT012_0007.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE012/UT012_0008.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE012/UT012_0008.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE012/UT012_0008.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE012/UT012_0009.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE012/UT012_0009.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE012/UT012_0009.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE012/UT012_0009.xml,short_head,ཁྱ,"<hi rend=""head"">ཁྱ</hi>"
archive/VE012/UT012_0009.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE012/UT012_0011.xml,short_head,ད,"<hi rend=""head"">ད</hi>"
archive/VE012/UT012_0011.xml,short_head,འི,"<hi rend=""head"">འི</hi>"
archive/VE012/UT012_0011.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE012/UT012_0011.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE012/UT012_0011.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE012/UT012_0011.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE012/UT012_0011.xml,short_head,ཁུ,"<hi rend=""head"">ཁུ</hi>"
archive/VE012/UT012_0011.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE012/UT012_0011.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE012/UT012_0011.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE012/UT012_0011.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE012/UT012_0011.xml,short_head,ས,"<hi rend=""head"">ས</hi>"
archive/VE012/UT012_0011.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
